,city,category,amount
0,Toronto, Restaurants,5972
1,Las Vegas, Restaurants,4925
2,Las Vegas, Shopping,4201
3,Toronto, Food,3349
4,Las Vegas, Home Services,3085
5,Las Vegas, Food,2937
6,Phoenix, Restaurants,2870
7,Montréal, Restaurants,2811
8,Toronto,Restaurants,2707
9,Phoenix, Shopping,2599
10,Las Vegas, Health & Medical,2498
11,Phoenix, Home Services,2470
12,Toronto, Shopping,2427
13,Las Vegas, Beauty & Spas,2417
14,Charlotte, Restaurants,2187
15,Las Vegas, Local Services,2159
16,Las Vegas,Restaurants,2006
17,Phoenix, Food,1784
18,Pittsburgh, Restaurants,1773
19,Las Vegas, Nightlife,1730
20,Phoenix, Health & Medical,1706
21,Phoenix, Local Services,1636
22,Las Vegas, Automotive,1619
23,Las Vegas, Event Planning & Services,1616
24,Toronto, Nightlife,1507
25,Toronto, Beauty & Spas,1420
26,Las Vegas, Bars,1396
27,Phoenix,Restaurants,1347
28,Toronto, Bars,1340
29,Las Vegas, Professional Services,1339
30,Scottsdale, Shopping,1329
31,Charlotte, Shopping,1309
32,Las Vegas,Shopping,1303
33,Montréal,Restaurants,1286
34,Las Vegas, Fashion,1273
35,Las Vegas, Arts & Entertainment,1269
36,Toronto,Food,1269
37,Phoenix, Automotive,1264
38,Montréal, Food,1260
39,Scottsdale, Health & Medical,1239
40,Charlotte, Food,1215
41,Scottsdale, Restaurants,1188
42,Las Vegas, Active Life,1174
43,Phoenix, Beauty & Spas,1155
44,Cleveland, Restaurants,1150
45,Las Vegas,Home Services,1142
46,Toronto, Coffee & Tea,1106
47,Mississauga, Restaurants,1088
48,Las Vegas, Real Estate,1066
49,Las Vegas, Doctors,1052
50,Pittsburgh, Food,1049
51,Phoenix,Home Services,1017
52,Scottsdale, Beauty & Spas,1011
53,Las Vegas,Food,993
54,Las Vegas,Health & Medical,989
55,Scottsdale, Home Services,986
56,Pittsburgh, Shopping,939
57,Toronto,Shopping,935
58,Las Vegas,Beauty & Spas,911
59,Las Vegas, Hotels & Travel,899
60,Mesa, Shopping,880
61,Toronto, Health & Medical,878
62,Mesa, Home Services,874
63,Mesa, Restaurants,860
64,Phoenix, Event Planning & Services,860
65,Phoenix, Professional Services,859
66,Las Vegas, Hair Salons,857
67,Charlotte, Home Services,855
68,Madison, Restaurants,839
69,Pittsburgh,Restaurants,835
70,Las Vegas, Fast Food,799
71,Tempe, Restaurants,781
72,Toronto, Event Planning & Services,781
73,Phoenix,Shopping,774
74,Las Vegas, Home & Garden,767
75,Charlotte, Beauty & Spas,765
76,Phoenix, Home & Garden,763
77,Las Vegas, American (Traditional),750
78,Toronto, Fashion,746
79,Phoenix, Nightlife,739
80,Charlotte,Restaurants,735
81,Toronto, Local Services,734
82,Las Vegas,Automotive,732
83,Phoenix, Active Life,730
84,Scottsdale, Food,716
85,Phoenix, Doctors,716
86,Toronto, Specialty Food,699
87,Phoenix, Real Estate,691
88,Las Vegas, Mexican,672
89,Henderson, Restaurants,664
90,Phoenix,Health & Medical,662
91,Charlotte, Health & Medical,659
92,Phoenix,Automotive,652
93,Charlotte, Nightlife,649
94,Las Vegas,Local Services,649
95,Phoenix, Bars,646
96,Las Vegas, Coffee & Tea,646
97,Tempe, Shopping,645
98,Markham, Restaurants,643
99,Chandler, Shopping,637
100,Charlotte, Local Services,633
101,Toronto,Beauty & Spas,630
102,Pittsburgh, Nightlife,624
103,Las Vegas, Sandwiches,621
104,Mesa, Health & Medical,620
105,Toronto, Breakfast & Brunch,615
106,Henderson, Home Services,612
107,Las Vegas, Auto Repair,604
108,Henderson, Shopping,604
109,Chandler, Restaurants,603
110,Charlotte, Bars,602
111,Henderson, Health & Medical,599
112,Montréal, Nightlife,599
113,Phoenix,Food,598
114,Toronto, Sandwiches,598
115,Toronto, Active Life,597
116,Las Vegas, Financial Services,587
117,Toronto, Canadian (New),583
118,Toronto, Cafes,581
119,Las Vegas, American (New),578
120,Montréal, Shopping,574
121,Phoenix, Mexican,572
122,Las Vegas, Hair Removal,572
123,Pittsburgh, Bars,569
124,Las Vegas, Burgers,568
125,Madison, Shopping,565
126,Mesa, Automotive,562
127,Las Vegas, Breakfast & Brunch,560
128,Glendale, Shopping,558
129,Cleveland, Food,557
130,Scottsdale, Local Services,555
131,Phoenix,Beauty & Spas,546
132,Tempe, Home Services,544
133,Las Vegas, Fitness & Instruction,544
134,Scottsdale, Doctors,544
135,Mesa, Local Services,543
136,Gilbert, Home Services,538
137,Charlotte, Event Planning & Services,535
138,Las Vegas,Nightlife,534
139,Chandler, Home Services,534
140,Montréal, Bars,530
141,Las Vegas, Women's Clothing,529
142,Phoenix, Fast Food,526
143,Las Vegas, Nail Salons,525
144,Mississauga,Restaurants,524
145,Las Vegas, Pizza,524
146,Las Vegas, Skin Care,524
147,Las Vegas, Education,522
148,Phoenix, Auto Repair,520
149,Toronto, Arts & Entertainment,516
150,Phoenix,Local Services,516
151,Madison, Food,516
152,Scottsdale, Active Life,515
153,Scottsdale, Nightlife,515
154,Chandler, Health & Medical,510
155,Phoenix, Fashion,509
156,Glendale, Restaurants,508
157,Mississauga, Food,506
158,Phoenix, Contractors,497
159,Mesa, Food,493
160,Toronto, Chinese,490
161,Phoenix, Sandwiches,489
162,Las Vegas, Contractors,488
163,Toronto, Fast Food,484
164,Las Vegas, Specialty Food,483
165,Phoenix, Breakfast & Brunch,482
166,Toronto, Hair Salons,481
167,Montréal,Food,480
168,Toronto, Home Services,476
169,Charlotte, Automotive,470
170,Gilbert, Shopping,469
171,Scottsdale, Bars,468
172,Pittsburgh, Home Services,467
173,Toronto, Bakeries,467
174,Tempe, Food,465
175,Scottsdale,Restaurants,464
176,Toronto, Italian,459
177,Montréal, Coffee & Tea,459
178,Toronto, Desserts,458
179,Phoenix, Hotels & Travel,456
180,Las Vegas, Accessories,455
181,Phoenix, Arts & Entertainment,454
182,Phoenix, American (Traditional),453
183,Phoenix, Coffee & Tea,451
184,Henderson, Beauty & Spas,451
185,Gilbert, Health & Medical,450
186,Pittsburgh, Beauty & Spas,448
187,Las Vegas, Dentists,445
188,Glendale, Home Services,444
189,Henderson, Food,437
190,Toronto,Coffee & Tea,437
191,Toronto, Japanese,433
192,Toronto, Pizza,431
193,Phoenix, Hair Salons,430
194,Scottsdale, Event Planning & Services,430
195,Las Vegas, Desserts,428
196,Las Vegas,Arts & Entertainment,426
197,Charlotte,Food,425
198,Cleveland, Nightlife,419
199,Brampton, Restaurants,418
200,Las Vegas, General Dentistry,416
201,Gilbert, Restaurants,415
202,Las Vegas, Apartments,412
203,Scottsdale,Health & Medical,409
204,Montréal, Cafes,409
205,Scottsdale,Beauty & Spas,404
206,Glendale, Health & Medical,402
207,Charlotte,Shopping,402
208,Cleveland,Restaurants,400
209,Phoenix, Burgers,397
210,Cleveland, Shopping,396
211,Las Vegas, Hair Stylists,396
212,Scottsdale, Real Estate,395
213,Scottsdale, Professional Services,392
214,Las Vegas,Real Estate,390
215,Chandler, Food,390
216,Phoenix, Apartments,390
217,Las Vegas,Event Planning & Services,388
218,Pittsburgh, Local Services,386
219,Mesa, Beauty & Spas,385
220,Charlotte, Active Life,384
221,Vaughan, Restaurants,379
222,Pittsburgh, Event Planning & Services,379
223,Las Vegas,Active Life,379
224,Richmond Hill, Restaurants,379
225,Charlotte, Sandwiches,379
226,Mesa,Restaurants,378
227,Toronto, Hotels & Travel,376
228,Henderson, Local Services,376
229,Chandler, Beauty & Spas,376
230,Scottsdale,Shopping,374
231,Scottsdale,Home Services,374
232,Las Vegas,Professional Services,373
233,Scarborough, Restaurants,371
234,Tempe, Local Services,370
235,Las Vegas, Real Estate Services,370
236,Toronto, Hair Removal,370
237,Las Vegas, Chinese,368
238,Scottsdale, Fashion,367
239,Las Vegas, Cosmetics & Beauty Supply,366
240,Charlotte,Home Services,366
241,Las Vegas, Massage,365
242,Pittsburgh,Food,365
243,Toronto, Home & Garden,364
244,Toronto, Burgers,362
245,Toronto, Nail Salons,362
246,Las Vegas, Men's Clothing,360
247,Las Vegas, Day Spas,359
248,Tempe, Health & Medical,359
249,Scottsdale, Hair Salons,359
250,Las Vegas, Hotels,359
251,Mesa,Home Services,359
252,Charlotte, American (Traditional),358
253,Charlotte, Fashion,356
254,Phoenix, Education,356
255,Cleveland, Bars,356
256,Las Vegas, Italian,355
257,Las Vegas, Pets,355
258,Phoenix, Financial Services,354
259,Phoenix, Fitness & Instruction,353
260,Las Vegas,Doctors,353
261,Charlotte, Fast Food,353
262,Toronto,Nightlife,353
263,Montréal, Breakfast & Brunch,353
264,Las Vegas, Waxing,352
265,Phoenix, American (New),348
266,Pittsburgh, Health & Medical,348
267,Charlotte, Real Estate,347
268,Las Vegas, Eyelash Service,346
269,Toronto, Pubs,345
270,Phoenix, Pizza,345
271,Glendale, Beauty & Spas,344
272,Charlotte,Beauty & Spas,343
273,Charlotte, American (New),340
274,Pittsburgh,Shopping,339
275,Las Vegas, Seafood,338
276,Mississauga, Shopping,337
277,North York, Restaurants,337
278,Madison,Restaurants,336
279,Toronto, Fitness & Instruction,335
280,Pittsburgh, American (Traditional),335
281,Montréal, Sandwiches,334
282,Scottsdale, Automotive,333
283,Champaign, Restaurants,332
284,Las Vegas, Pet Services,331
285,Gilbert, Beauty & Spas,331
286,Markham, Food,330
287,Scottsdale, Skin Care,329
288,Toronto, Women's Clothing,329
289,Las Vegas, Performing Arts,328
290,Las Vegas, Wine & Spirits,327
291,Las Vegas,Fashion,326
292,Las Vegas, Convenience Stores,326
293,Las Vegas, Japanese,326
294,Phoenix, Dentists,326
295,Tempe, Automotive,325
296,Las Vegas,Hotels & Travel,325
297,Toronto,Bars,322
298,Gilbert, Food,317
299,Chandler,Restaurants,317
300,Las Vegas, Lawyers,317
301,Pittsburgh, Sandwiches,316
302,Tempe,Restaurants,313
303,Toronto, American (Traditional),312
304,Phoenix, Pets,311
305,Las Vegas, Lounges,308
306,Scottsdale, Home & Garden,308
307,Las Vegas, Asian Fusion,307
308,Pittsburgh, Automotive,307
309,Las Vegas,Auto Repair,306
310,Tempe, Beauty & Spas,304
311,Toronto, Skin Care,303
312,Phoenix, Hair Removal,301
313,Toronto, Automotive,301
314,Scottsdale, Fitness & Instruction,300
315,Madison, Nightlife,298
316,Chandler, Local Services,298
317,Gilbert, Local Services,298
318,Montréal, Specialty Food,297
319,Phoenix, General Dentistry,297
320,Las Vegas,Bars,296
321,Las Vegas, Gas Stations,293
322,Glendale, Food,293
323,Madison, Home Services,291
324,Toronto, Sushi Bars,290
325,Las Vegas, Real Estate Agents,290
326,Las Vegas, Bakeries,290
327,Scottsdale, Hair Removal,289
328,Las Vegas, Grocery,288
329,Charlotte, Hair Salons,288
330,Henderson,Restaurants,286
331,Pittsburgh, American (New),286
332,Mesa,Shopping,285
333,Toronto, Professional Services,285
334,Las Vegas, Party & Event Planning,285
335,Phoenix, Skin Care,284
336,Las Vegas, Sports Bars,283
337,Markham,Restaurants,283
338,Charlotte, Arts & Entertainment,283
339,Phoenix,Mexican,281
340,Charlotte, Home & Garden,281
341,Henderson, Automotive,281
342,Las Vegas, Medical Centers,280
343,Toronto,Health & Medical,279
344,Las Vegas, IT Services & Computer Repair,278
345,Las Vegas, Ice Cream & Frozen Yogurt,277
346,Toronto,Local Services,276
347,Las Vegas, Beer,275
348,Henderson, Doctors,275
349,Toronto, Middle Eastern,273
350,Phoenix, Nail Salons,273
351,Las Vegas,Mexican,271
352,Mesa, Home & Garden,271
353,Pittsburgh, Pizza,270
354,Madison, Bars,269
355,Las Vegas,Financial Services,268
356,Toronto, Massage,268
357,Pittsburgh, Active Life,267
358,Las Vegas, Cosmetic Dentists,266
359,Phoenix, Specialty Food,266
360,Toronto, Caterers,266
361,Las Vegas, Shoe Stores,266
362,Las Vegas, Salad,265
363,Phoenix, Grocery,265
364,Phoenix,Professional Services,265
365,Toronto, Day Spas,264
366,Las Vegas, Makeup Artists,264
367,Las Vegas,Fast Food,264
368,Peoria, Restaurants,264
369,Glendale,Restaurants,263
370,Scottsdale, American (New),263
371,Las Vegas, Jewelry,263
372,Toronto, Indian,263
373,Charlotte,Health & Medical,263
374,Mesa, Active Life,262
375,Mesa, Auto Repair,260
376,Peoria, Home Services,260
377,Henderson, Active Life,260
378,Montréal, Event Planning & Services,260
379,Phoenix,Real Estate,260
380,Las Vegas, Juice Bars & Smoothies,259
381,Charlotte, Hotels & Travel,259
382,Las Vegas, Electronics,258
383,Toronto, Asian Fusion,258
384,Toronto,Hair Salons,258
385,Pittsburgh, Fashion,256
386,Glendale, Local Services,256
387,Scottsdale, Arts & Entertainment,255
388,Phoenix, Pet Services,255
389,Las Vegas,Hair Salons,255
390,Toronto, Grocery,254
391,Peoria, Shopping,253
392,Montréal, French,253
393,Las Vegas, Specialty Schools,251
394,Toronto, Juice Bars & Smoothies,251
395,Las Vegas, Flowers & Gifts,251
396,Las Vegas, Casinos,249
397,Las Vegas, Venues & Event Spaces,249
398,Mesa,Automotive,249
399,Las Vegas, Caterers,248
400,Charlotte, Breakfast & Brunch,247
401,Las Vegas, Oil Change Stations,246
402,Las Vegas, Cafes,246
403,Toronto, Mediterranean,245
404,Henderson, Real Estate,245
405,North Las Vegas, Restaurants,245
406,Toronto, Salad,244
407,Henderson,Health & Medical,243
408,Charlotte, Coffee & Tea,243
409,Las Vegas, Gyms,242
410,Pittsburgh, Coffee & Tea,242
411,Las Vegas, Hair Extensions,241
412,Toronto,Chinese,241
413,Toronto, Wine & Spirits,241
414,Mesa,Health & Medical,240
415,Las Vegas, Home Decor,239
416,Toronto, Accessories,239
417,Las Vegas, Chicken Wings,239
418,Mesa, Doctors,239
419,Scottsdale, Hotels & Travel,239
420,Las Vegas, Auto Parts & Supplies,236
421,Mesa, Professional Services,235
422,Charlotte, Auto Repair,234
423,Toronto, Ice Cream & Frozen Yogurt,234
424,Las Vegas, Sushi Bars,234
425,Pittsburgh, Arts & Entertainment,233
426,Concord, Restaurants,232
427,Phoenix, Convenience Stores,232
428,Charlotte, Professional Services,232
429,Charlotte, Burgers,231
430,Montréal, Canadian (New),231
431,Las Vegas, Property Management,231
432,Peoria, Health & Medical,230
433,Phoenix, Home Decor,230
434,Montréal,Shopping,230
435,Madison, Beauty & Spas,228
436,Las Vegas, Photographers,228
437,Las Vegas, Massage Therapy,228
438,Chandler, Automotive,227
439,Phoenix, Italian,227
